ATC_code,Name,Category_Level_4,Category_Level_3,Category_Level_2,Category_Level_1
N05CX03,"methylpentynol, combinations","Hypnotics and sedatives in combination, excl. barbiturates",HYPNOTICS AND SEDATIVES,PSYCHOLEPTICS,NERVOUS SYSTEM
N05CX04,"clomethiazole, combinations","Hypnotics and sedatives in combination, excl. barbiturates",HYPNOTICS AND SEDATIVES,PSYCHOLEPTICS,NERVOUS SYSTEM
N05CX05,"emepronium, combinations","Hypnotics and sedatives in combination, excl. barbiturates",HYPNOTICS AND SEDATIVES,PSYCHOLEPTICS,NERVOUS SYSTEM
N05CX06,"dipiperonylaminoethanol, combinations","Hypnotics and sedatives in combination, excl. barbiturates",HYPNOTICS AND SEDATIVES,PSYCHOLEPTICS,NERVOUS SYSTEM
N06AA01,desipramine,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA02,imipramine,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA03,imipramine oxide,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA04,clomipramine,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA05,opipramol,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA06,trimipramine,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA07,lofepramine,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA08,dibenzepin,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA09,amitriptyline,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA10,nortriptyline,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA11,protriptyline,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA12,doxepin,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA13,iprindole,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA14,melitracen,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA15,butriptyline,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA16,dosulepin,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA17,amoxapine,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA18,dimetacrine,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA19,amineptine,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA21,maprotiline,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AA23,quinupramine,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AB02,zimeldine,Selective serotonin reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AB03,fluoxetine,Selective serotonin reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AB04,citalopram,Selective serotonin reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AB05,paroxetine,Selective serotonin reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AB06,sertraline,Selective serotonin reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AB07,alaproclate,Selective serotonin reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AB08,fluvoxamine,Selective serotonin reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AB09,etoperidone,Selective serotonin reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AB10,escitalopram,Selective serotonin reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AF01,isocarboxazid,"Monoamine oxidase inhibitors, non-selective",ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AF02,nialamide,"Monoamine oxidase inhibitors, non-selective",ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AF03,phenelzine,"Monoamine oxidase inhibitors, non-selective",ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AF04,tranylcypromine,"Monoamine oxidase inhibitors, non-selective",ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AF05,iproniazide,"Monoamine oxidase inhibitors, non-selective",ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AF06,iproclozide,"Monoamine oxidase inhibitors, non-selective",ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX01,oxitriptan,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX02,tryptophan,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX03,mianserin,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX04,nomifensine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX05,trazodone,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX06,nefazodone,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX07,minaprine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX08,bifemelane,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX09,viloxazine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX10,oxaflozane,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX11,mirtazapine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX12,bupropion,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX13,medifoxamine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX14,tianeptine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX15,pivagabine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX16,venlafaxine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX17,milnacipran,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX18,reboxetine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX19,gepirone,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX21,duloxetine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX22,agomelatine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX23,desvenlafaxine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX24,vilazodone,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX25,hyperici herba,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX26,vortioxetine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX27,esketamine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX28,levomilnacipran,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX29,brexanolone,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX31,zuranolone,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06AX62,bupropion and dextromethorphan,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA01,amphetamine,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA02,dextroamphetamine,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA03,methamphetamine,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA04,methylphenidate,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA05,pemoline,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA06,fencamfamin,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA07,modafinil,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA08,fenozolone,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA09,atomoxetine,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA10,fenetylline,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA11,dexmethylphenidate,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA12,lisdexamfetamine,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA13,armodafinil,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA14,solriamfetol,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA15,dexmethylphenidate and serdexmethylphenidate,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BA15,serdexmethylphenidate,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BC01,caffeine,Xanthine derivatives,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BC02,propentofylline,Xanthine derivatives,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX01,meclofenoxate,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX02,pyritinol,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX03,piracetam,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX04,deanol,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX05,fipexide,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX06,citicoline,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX07,oxiracetam,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX08,pirisudanol,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX09,linopirdine,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX10,nizofenone,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX11,aniracetam,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX12,acetylcarnitine,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX13,idebenone,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX14,prolintane,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX15,pipradrol,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX16,pramiracetam,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX17,adrafinil,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX18,vinpocetine,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX21,temgicoluril,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06BX22,phenibut,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
N06CA01,amitriptyline and psycholeptics,Antidepressants in combination with psycholeptics,PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06CA02,melitracen and psycholeptics,Antidepressants in combination with psycholeptics,PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06CA03,fluoxetine and psycholeptics,Antidepressants in combination with psycholeptics,PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06DA01,tacrine,Anticholinesterases,ANTI-DEMENTIA DRUGS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06DA02,donepezil,Anticholinesterases,ANTI-DEMENTIA DRUGS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06DA03,rivastigmine,Anticholinesterases,ANTI-DEMENTIA DRUGS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06DA04,galantamine,Anticholinesterases,ANTI-DEMENTIA DRUGS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06DA05,ipidacrine,Anticholinesterases,ANTI-DEMENTIA DRUGS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06DA52,donepezil and memantine,Anticholinesterases,ANTI-DEMENTIA DRUGS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06DA53,"donepezil, memantine and ginkgo folium",Anticholinesterases,ANTI-DEMENTIA DRUGS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06DX01,memantine,Other anti-dementia drugs,ANTI-DEMENTIA DRUGS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06DX02,ginkgo folium,Other anti-dementia drugs,ANTI-DEMENTIA DRUGS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06DX03,aducanumab,Other anti-dementia drugs,ANTI-DEMENTIA DRUGS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06DX04,lecanemab,Other anti-dementia drugs,ANTI-DEMENTIA DRUGS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06DX05,donanemab,Other anti-dementia drugs,ANTI-DEMENTIA DRUGS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N06DX30,combinations,Other anti-dementia drugs,ANTI-DEMENTIA DRUGS,PSYCHOANALEPTICS,NERVOUS SYSTEM
N07BB04,naltrexone,Drugs used in alcohol dependence,DRUGS USED IN ADDICTIVE DISORDERS,OTHER NERVOUS SYSTEM DRUGS,NERVOUS SYSTEM
R01AA04,phenylephrine,"Sympathomimetics, plain",DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,NASAL PREPARATIONS,RESPIRATORY SYSTEM
R01BA52,pseudoephedrine,Sympathomimetics,NASAL DECONGESTANTS FOR SYSTEMIC USE,NASAL PREPARATIONS,RESPIRATORY SYSTEM
R03BB00,clidinium,Anticholinergics,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,RESPIRATORY SYSTEM
R03BB00,methscopolamine,Anticholinergics,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,RESPIRATORY SYSTEM
R03CC02,albuterol,Selective beta-2-adrenoreceptor agonists,ADRENERGICS FOR SYSTEMIC USE,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,RESPIRATORY SYSTEM
R05DA04,codeine,Opium alkaloids and derivatives,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",COUGH AND COLD PREPARATIONS,RESPIRATORY SYSTEM
R05DA09,dextromethorphan,Opium alkaloids and derivatives,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",COUGH AND COLD PREPARATIONS,RESPIRATORY SYSTEM
R06AB04,chlorpheniramine,Substituted alkylamines,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AB05,pheniramine,Substituted alkylamines,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AX00,doxylamine,Other antihistamines for systemic use,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AX00,phenyltoloxamine citrate,Other antihistamines for systemic use,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AX00,pyrilamine,Other antihistamines for systemic use,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
C03AA01,bendroflumethiazide,"Thiazides, plain","LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AA02,hydroflumethiazide,"Thiazides, plain","LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AA03,hydrochlorothiazide,"Thiazides, plain","LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AA04,chlorothiazide,"Thiazides, plain","LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AA05,polythiazide,"Thiazides, plain","LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AA06,trichlormethiazide,"Thiazides, plain","LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AA07,cyclopenthiazide,"Thiazides, plain","LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AA08,methyclothiazide,"Thiazides, plain","LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AA09,cyclothiazide,"Thiazides, plain","LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AA13,mebutizide,"Thiazides, plain","LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AB01,bendroflumethiazide and potassium,Thiazides and potassium in combination,"LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AB02,hydroflumethiazide and potassium,Thiazides and potassium in combination,"LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AB03,hydrochlorothiazide and potassium,Thiazides and potassium in combination,"LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AB04,chlorothiazide and potassium,Thiazides and potassium in combination,"LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AB05,polythiazide and potassium,Thiazides and potassium in combination,"LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AB06,trichlormethiazide and potassium,Thiazides and potassium in combination,"LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AB07,cyclopenthiazide and potassium,Thiazides and potassium in combination,"LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AB08,methyclothiazide and potassium,Thiazides and potassium in combination,"LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AB09,cyclothiazide and potassium,Thiazides and potassium in combination,"LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AH01,"chlorothiazide, combinations","Thiazides, combinations with psycholeptics and/or analgesics","LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AH02,"hydroflumethiazide, combinations","Thiazides, combinations with psycholeptics and/or analgesics","LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C03AX01,"hydrochlorothiazide, combinations","Thiazides, combinations with other drugs","LOW-CEILING DIURETICS, THIAZIDES",DIURETICS,CARDIOVASCULAR SYSTEM
C09CA03,valsartan,"Angiotensin II receptor blockers (ARBs), plain","ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,CARDIOVASCULAR SYSTEM
C09AA03,lisinopril,"ACE inhibitors, plain","ACE INHIBITORS, PLAIN",AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,CARDIOVASCULAR SYSTEM
C09CA01,losartan,"Angiotensin II receptor blockers (ARBs), plain","ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,CARDIOVASCULAR SYSTEM
C03DB02,triamterene,Other potassium-sparing agents,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,DIURETICS,CARDIOVASCULAR SYSTEM
C07AB02,metoprolol,"Beta blocking agents, selective",BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,CARDIOVASCULAR SYSTEM
C09AA02,enalapril,"ACE inhibitors, plain","ACE INHIBITORS, PLAIN",AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,CARDIOVASCULAR SYSTEM
C09CA08,olmesartan medoxomil,"Angiotensin II receptor blockers (ARBs), plain","ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,CARDIOVASCULAR SYSTEM
C09CA04,irbesartan,"Angiotensin II receptor blockers (ARBs), plain","ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,CARDIOVASCULAR SYSTEM
C09CA06,candesartan,"Angiotensin II receptor blockers (ARBs), plain","ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,CARDIOVASCULAR SYSTEM
C03DA01,spironolactone,Aldosterone antagonists,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,DIURETICS,CARDIOVASCULAR SYSTEM
